λ,espec_0,espec_1,espec_2,espec_3,espec_4,espec_5,espec_6,espec_7,espec_8,espec_9
0.7,-0.08901550450066303,-320.9929741393871,573.5460582190428,2135.244982521426,9822.539863586137,-21727.50064747237,-139453.1009860713,-519697.18194401154,-460356.85775189195,376277.0810870877
0.7007081260988011,-0.0886591935548028,-317.449688596436,567.0977904216418,2071.862981377143,9551.619986701655,-19706.426482309427,-137301.55870049866,-477848.83680685464,-379681.18636606855,504457.97249771754
0.7014169685441336,-0.08829780890300337,-314.03979216623867,588.2073303039296,2032.5235769456128,9194.485445426057,-17465.55924313878,-137121.9014277822,-426726.25872415747,-297163.8837466002,685827.3567434017
0.7021265280606596,-0.08793708441118006,-310.9899343948047,620.962562421344,2030.298135490463,8732.829706182809,-15714.852052384695,-139183.6061642072,-376944.49010474875,-279790.5937868836,849762.4327898566
0.7028368053737746,-0.08756399990568027,-308.61953579126833,751.7662741631302,2132.4454394589998,8173.892937895485,-15389.396126397794,-144018.00170639297,-293285.49888772174,-260648.76659916245,1066531.5859379366
0.7035478012096076,-0.08719072258184371,-306.2816357269713,895.6201597551692,2268.8232016644342,7520.341886598784,-15339.613850283367,-150697.6279837532,-213179.58343635258,-293928.3950896707,1282647.6128314927
0.7042595162950231,-0.08681469438700752,-304.8190931112351,1105.2368643917612,2486.626773456366,6878.251392642729,-17415.668986640034,-159943.2825872838,-105741.60352562468,-332636.56326054723,1447794.45081188
0.7049719513576196,-0.08642807452152021,-303.2712719030981,1393.004290712636,2787.800117126066,6146.635613959941,-20379.111747791514,-171457.73966302266,25120.233711549223,-367356.09390240663,1679982.5527079161
0.7056851071257328,-0.08606774738763368,-301.4246175815635,1558.9397366654116,2977.2833376012536,5648.646868037238,-23561.674246073777,-183569.05305660737,128569.63244919908,-405421.35247061803,1697681.0385448877
0.7063989843284344,-0.08568297045707662,-299.9529502463389,1882.4117775437628,3322.35885967334,4971.425649005097,-28659.523963039937,-202009.1036924566,304494.7684945512,-402878.2710771561,1855972.7653813132
0.7071135836955339,-0.0853690532807783,-296.4812392725367,1813.3429899742935,3280.248408329866,4901.745691834285,-31257.154251309865,-214811.99335845464,354953.61556007626,-411475.3721556443,1549145.5527446126
